Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,72.510002,72.769997,72.330002,72.769997,66.106613,2086500
2018-01-03,72.860001,73.209999,72.849998,73.139999,66.442749,3217400
2018-01-04,73.570000,73.790001,73.540001,73.650002,66.906036,2044200
2018-01-05,73.930000,74.180000,73.790001,74.129997,67.342079,1595400
2018-01-08,74.120003,74.250000,74.029999,74.199997,67.405678,1507800
2018-01-09,74.320000,74.440002,74.150002,74.290001,67.487450,1268200
2018-01-10,74.129997,74.260002,73.980003,74.120003,67.333015,1193300
2018-01-11,74.269997,74.639999,74.269997,74.629997,67.796310,1258800
2018-01-12,74.779999,75.250000,74.760002,75.199997,68.314102,1382000
2018-01-16,75.629997,75.720001,74.910004,75.070000,68.196007,2941000
2018-01-17,75.339996,75.809998,75.150002,75.660004,68.731995,2516000
2018-01-18,75.629997,75.720001,75.430000,75.559998,68.641151,4191900
2018-01-19,75.800003,75.940002,75.629997,75.919998,68.968170,1318800
2018-01-22,75.919998,76.470001,75.919998,76.470001,69.467819,1120900
2018-01-23,76.500000,76.720001,76.410004,76.709999,69.685844,1329200
2018-01-24,77.000000,77.129997,76.449997,76.779999,69.749428,1696000
2018-01-25,77.029999,77.070000,76.550003,76.709999,69.685844,2584800
2018-01-26,77.050003,77.540001,76.949997,77.540001,70.439850,1264300
2018-01-29,77.120003,77.199997,76.830002,76.870003,69.831207,1684500
2018-01-30,76.419998,76.510002,76.010002,76.120003,69.149857,2366700
2018-01-31,76.470001,76.559998,75.910004,76.199997,69.222534,2062100
2018-02-01,75.959999,76.410004,75.910004,76.150002,69.177124,3227600
2018-02-02,75.500000,75.589996,74.459999,74.489998,67.669128,7605600
2018-02-05,73.779999,74.379997,71.349998,71.529999,64.980156,11025900
2018-02-06,70.910004,73.150002,70.550003,73.050003,66.360985,12874700
2018-02-07,72.480003,73.360001,72.199997,72.199997,65.588806,7564700
2018-02-08,72.360001,72.360001,69.830002,69.830002,63.435825,6235400
2018-02-09,70.480003,71.059998,68.519997,70.639999,64.171654,8534600
2018-02-12,71.169998,71.989998,70.809998,71.620003,65.061920,3611200
2018-02-13,71.360001,71.870003,71.209999,71.750000,65.180023,1918000
2018-02-14,71.300003,73.000000,71.300003,72.970001,66.288307,2926300
2018-02-15,73.500000,73.790001,72.809998,73.790001,67.033226,3154100
2018-02-16,73.580002,74.360001,73.580002,73.870003,67.105904,2834200
2018-02-20,73.290001,73.750000,73.010002,73.250000,66.542664,1669700
2018-02-21,73.440002,74.120003,72.919998,72.930000,66.251968,1340900
2018-02-22,73.160004,73.690002,72.949997,73.080002,66.388245,1917500
2018-02-23,73.519997,74.010002,73.370003,73.989998,67.214905,7204000
2018-02-26,74.309998,74.790001,74.089996,74.779999,67.932587,1966200
2018-02-27,74.489998,74.690002,73.639999,73.639999,66.896965,1935800
2018-02-28,73.900002,73.919998,72.790001,72.790001,66.124809,1634100
2018-03-01,72.709999,73.080002,71.400002,71.879997,65.298103,6922700
2018-03-02,71.410004,72.320000,71.160004,72.209999,65.597893,2206600
2018-03-05,71.800003,72.910004,71.709999,72.779999,66.115707,1765600
2018-03-06,73.260002,73.300003,72.790001,73.160004,66.460915,1507900
2018-03-07,72.650002,73.169998,72.480003,73.110001,66.415482,1446000
2018-03-08,73.320000,73.400002,72.989998,73.379997,66.660751,1305800
2018-03-09,73.680000,74.339996,73.599998,74.330002,67.523781,799300
2018-03-12,74.400002,74.599998,74.199997,74.360001,67.551033,2316500
2018-03-13,74.660004,74.760002,73.690002,73.860001,67.096802,1172700
2018-03-14,74.330002,74.330002,73.570000,73.709999,66.960556,1010500
2018-03-15,73.860001,74.070000,73.540001,73.680000,66.933289,3228800
2018-03-16,73.690002,73.900002,73.629997,73.650002,66.906036,1073900
2018-03-19,73.410004,73.410004,72.389999,72.870003,66.197464,2320600
2018-03-20,72.940002,73.139999,72.839996,72.970001,66.288307,1032500
2018-03-21,72.970001,73.559998,72.870003,73.040001,66.351883,1674100
2018-03-22,72.279999,72.449997,71.269997,71.309998,64.780312,3784500
2018-03-23,71.419998,71.610001,70.050003,70.089996,63.672012,1654800
2018-03-26,71.180000,71.809998,70.489998,71.730003,65.161850,3064200
2018-03-27,72.019997,72.139999,70.400002,70.699997,64.226158,2931100
2018-03-28,70.889999,71.330002,70.419998,70.750000,64.271599,3097300
2018-03-29,71.089996,72.010002,70.970001,71.699997,65.134598,3126800
2018-04-02,71.389999,71.529999,69.669998,70.260002,63.826458,3336500
2018-04-03,70.739998,71.080002,70.220001,71.010002,64.507797,4289400
